product_link,title,brand,marked_price,price,discount,avg_rating,total_ratings
https://www.flipkart.com/vokline-sports-shoes-running-shoes-trekking-shoes-gym-shoes-women-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKGPDZFUG63&lid=LSTSHOGBSKGPDZFUG63LH7I47&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtsNvEs7KksX66iQ4gQRXw9LhfLt_RRP01fJmdG8hbV2aw%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"sports shoes,Running shoes,Trekking Shoes,gym shoes for women Outdoors For Women",Vokline ,999,360,0.63,4.1,147894
https://www.flipkart.com/rizta-training-gym-shoes-women/p/itmbb38fbfb499c5?pid=SHOHGHAFFYCGFPQZ&lid=LSTSHOHGHAFFYCGFPQZB8KMMN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOHGHAFFYCGFPQZ.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Training & Gym Shoes For Women,RIZTA ,999,370,0.62,,
https://www.flipkart.com/vokline-sports-running-trekking-gym-outdoors-women/p/itm119cf8f5a660d?pid=SHOGBSKGKU7HUNVQ&lid=LSTSHOGBSKGKU7HUNVQK1341V&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOGBSKGKU7HUNVQ.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"sports ,Running ,Trekking ,gym Outdoors For Women",Vokline ,999,360,0.63,4.1,147894
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmb05ff265eedc4?pid=SHOHFMMNRVSVCQ2C&lid=LSTSHOHFMMNRVSVCQ2CKJQHKB&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOHFMMNRVSVCQ2C.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,6099,975,0.84,4.3,7713
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itm2819ceb3ce43a?pid=SHOGZEZWCN3ZPF4Q&lid=LSTSHOGZEZWCN3ZPF4QDWITJG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_39&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOGZEZWCN3ZPF4Q.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"Trendy Sports Shoes for Women's Running,Walking with Memory Foam Running Shoes For Women",Fabbmate ,799,355,0.55,4,139036
https://www.flipkart.com/vokline-sports-shoes-trekking-shoes-running-shoes-gym-shoes-women-walking/p/itmd28f73dfdbae0?pid=SHOGKRMTUNRHHHTS&lid=LSTSHOGKRMTUNRHHHTSMN7MSF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLoW2nWpBnoe7f0pO4c5BYElKDtzulQRFeOyWxJeEA-F3Q%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"Vokline Sports shoes,trekking shoes, Running shoes,gym shoes For Women Walking Shoes For Women",Vokline ,999,360,0.63,4.1,147894
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm11d596cf87fb0?pid=SHOH8WS75TTCW9UC&lid=LSTSHOH8WS75TTCW9UCYMTFDB&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLpTyODtL37sXSw9DfDy0CLkxwd5bGeyCEvqN-vUj5iZag%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox ,999,380,0.61,3.8,1108
https://www.flipkart.com/rizta-training-gym-shoes-women/p/itmed9fb788577bd?pid=SHOHGGFDPTNWGZ9Y&lid=LSTSHOHGGFDPTNWGZ9YNSLYR7&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_46&otracker=search&otracker1=search&fm=Search&iid=fe476444-8a3f-4082-a298-6339d6c7d231.SHOHGGFDPTNWGZ9Y.SEARCH&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Training & Gym Shoes For Women,RIZTA ,999,370,0.62,,
https://www.flipkart.com/deals4you-sneakers-women/p/itm6dd0e5a6dc9f6?pid=SHOGRW7NPGUFMMBW&lid=LSTSHOGRW7NPGUFMMBWZHX9UN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLrNxRLPApnfIXGw2vZ9Pgbhsuynl2j94rH3ts8USYloeA%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Sneakers For Women,Deals4you ,1499,423,0.71,4,16860
https://www.flipkart.com/footox-trendy-sports-running-shoes-women/p/itm814059bda311c?pid=SHOH5GCYPAZF6UWB&lid=LSTSHOH5GCYPAZF6UWBXHAIJV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLqVNxlIBkJw6UArXXBXGc1TP34UqamRCM5PAIdXHQVf6Q%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Trendy Sports Running Shoes For Women,Footox ,999,389,0.61,3.7,2040
https://www.flipkart.com/vokline-sports-shoes-running-shoes-trekking-shoes-gym-shoes-women-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKGPDZFUG63&lid=LSTSHOGBSKGPDZFUG63LH7I47&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLqR1-MGusCUV9antb9gfAi-stWqhTBEXl1HZ4eE7WNg0A%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"sports shoes,Running shoes,Trekking Shoes,gym shoes for women Outdoors For Women",Vokline ,999,360,0.63,4.1,147894
https://www.flipkart.com/doctor-health-super-soft-newly-launch-classic-ultra-memory-foam-comfortable-stylish-trendy-bellies-women/p/itm3964abf0d7553?pid=SHOH7N79HJHGQFXQ&lid=LSTSHOH7N79HJHGQFXQYZXXMW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_52&otracker=search&otracker1=search&fm=Search&iid=en_fFUtnXs1TAuUFG17GUUlrahW73I0JLEywpvP46XDkLoUsHlngPjLvLngJlkguRjiQJP3B8d5U_2STWw46rb-TA%3D%3D&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,Newly Launch | Classic Ultra Soft | Memory Foam | Comfortable|Stylish|Trendy Bellies For Women,Doctor Health Super Soft ,2499,500,0.79,4.1,826
https://www.flipkart.com/asian-firefly-09-navy-gym-sports-walking-stylish-running-shoes-women/p/itm0ca2235634b47?pid=SHOGN9YDKFFK7YYW&lid=LSTSHOGN9YDKFFK7YYWGZAP8U&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_54&otracker=search&otracker1=search&fm=Search&iid=fe476444-8a3f-4082-a298-6339d6c7d231.SHOGN9YDKFFK7YYW.SEARCH&ppt=sp&ppn=sp&ssid=07y8ak0kog0000001765654575636&qH=32e27b1148959538,"Firefly-09 Navy Gym,Sports,Walking,Stylish Running Shoes For Women",asian ,1499,832,0.44,4.2,18486
